SQLDATE,GoldsteinScale,stability_score,score,status,month
2025-01-01,0.1357142857142857,0.1357142857142857,44.202043498082546,Tension,2025-01
2025-01-02,-0.46315789473684216,-0.46315789473684216,38.64839496902572,Crise,2025-01
2025-01-03,0.7310344827586208,0.7310344827586208,49.722752665341815,Tension,2025-01
2025-01-04,2.542857142857143,2.542857142857143,66.52471238166751,Tension,2025-01
2025-01-05,2.8000000000000003,2.8000000000000003,68.90932982917214,Tension,2025-01
2025-01-06,0.8105263157894737,0.8105263157894737,50.45992115637319,Tension,2025-01
2025-01-07,0.9999999999999999,0.9999999999999999,52.21700769663976,Tension,2025-01
2025-01-08,1.178125,1.178125,53.868852074338285,Tension,2025-01
2025-01-09,-0.4869565217391304,-0.4869565217391304,38.42769810889562,Crise,2025-01
2025-01-10,-1.5584905660377357,-1.5584905660377357,28.49081397366921,Crise,2025-01
2025-01-11,0.5407407407407407,0.5407407407407407,47.95806130891544,Tension,2025-01
2025-01-12,1.188,1.188,53.960428008259804,Tension,2025-01
2025-01-13,-0.3346153846153846,-0.3346153846153846,39.84043551717665,Crise,2025-01
2025-01-14,0.7809523809523808,0.7809523809523808,50.18566690802471,Tension,2025-01
2025-01-15,-1.1864864864864864,-1.1864864864864864,31.940598379494574,Crise,2025-01
2025-01-16,-0.1,-0.1,42.01614417120331,Tension,2025-01
2025-01-17,0.8239130434782609,0.8239130434782609,50.58406314019638,Tension,2025-01
2025-01-18,1.1368421052631579,1.1368421052631579,53.486014642387836,Tension,2025-01
2025-01-19,2.0666666666666664,2.0666666666666664,62.108754145547834,Tension,2025-01
2025-01-20,2.858333333333333,2.858333333333333,69.4502847130968,Tension,2025-01
2025-01-21,2.8875,2.8875,69.72076215505913,Tension,2025-01
2025-01-22,1.9214285714285713,1.9214285714285713,60.76188688353134,Tension,2025-01
2025-01-23,2.364705882352941,2.364705882352941,64.8726244768604,Tension,2025-01
2025-01-24,-1.0333333333333334,-1.0333333333333334,33.360866028408736,Crise,2025-01
2025-01-25,-0.4444444444444444,-0.4444444444444444,38.82193438041007,Crise,2025-01
2025-01-26,0.7571428571428572,0.7571428571428572,49.964868996218726,Tension,2025-01
2025-01-27,0.30769230769230765,0.30769230769230765,45.79688379951192,Tension,2025-01
2025-01-28,2.1333333333333333,2.1333333333333333,62.726988298604596,Tension,2025-01
2025-01-29,-0.675,-0.675,36.683874601088796,Crise,2025-01
2025-01-30,2.8999999999999995,2.8999999999999995,69.83668105875728,Tension,2025-01
2025-01-31,-0.8999999999999999,-0.8999999999999999,34.59733433452225,Crise,2025-01
2025-02-01,0.14285714285714285,0.14285714285714285,44.26828287162434,Tension,2025-02
2025-02-02,2.733333333333333,2.733333333333333,68.29109567611539,Tension,2025-02
2025-02-03,1.52,1.52,57.03923409048246,Tension,2025-02
2025-02-04,-2.2666666666666666,-2.2666666666666666,21.923534196858775,Crise,2025-02
2025-02-05,-0.8454545454545456,-0.8454545454545456,35.10316227793231,Crise,2025-02
2025-02-06,-0.05517241379310348,-0.05517241379310348,42.431853343086296,Tension,2025-02
2025-02-07,1.353846153846154,1.353846153846154,55.498404355171765,Tension,2025-02
2025-02-08,3.3000000000000003,3.3000000000000003,73.5460859770978,Stable,2025-02
2025-02-09,0.21538461538461537,0.21538461538461537,44.940867279894874,Tension,2025-02
2025-02-10,-0.6,-0.6,37.37938802327765,Crise,2025-02
2025-02-11,-0.86,-0.86,34.9682748263563,Crise,2025-02
2025-02-12,2.8625,2.8625,69.48892434766285,Tension,2025-02
